	userid	topic_num	query	query_index	query_satisfaction_annotation
0	21	10	港版iphone6	0	5
1	21	10	港版iphone6 在哪买	1	4
2	21	10	港版iphone6 运营商	2	5
3	21	10	港版iphone6 入关	3	3
4	21	10	港版iphone6 入关关税	4	4
5	21	10	港版iphone6 关税	5	1
6	21	10	港版国行iphone6 价格对比	6	2
7	21	10	港版国行iphone6 价格	7	1
8	12	10	港版iphone6	0	3
9	12	10	港版iphone6 价格	1	2
10	12	10	港版iphone6 国行 价格	2	2
11	12	10	iphone6国行 价格	3	1
12	12	10	港版iphone6 关税	4	2
13	9	10	港版iphone6	0	3
14	9	10	国内 iphone6  价格  	1	3
15	9	10	香港 iphone6  价格  	2	2
16	9	10	香港 iphone6   关税	3	1
17	9	10	香港 iphone6   关税	4	2
18	9	10	港iphone6  国内运营商	5	3
19	17	10	港版iphone6	0	4
20	17	10	港版iphone6 关税	1	3
21	15	10	港版iphone6	0	5
22	15	10	苹果官网	1	5
23	15	10	香港 超过多少钱需要交关税	2	2
24	15	10	在香港买iphone 6	3	5
25	25	10	港版iphone6	0	3
26	25	10	如何购买港版iphone6	1	3
27	25	10	港版iphone6缴纳关税	2	3
28	25	10	iphone6	3	2
29	6	10	港版iphone6	0	3
30	6	10	在香港买iphone6	1	3
31	6	10	港版iphone6过关	2	1
32	6	10	港版iphone6 关税	3	2
33	6	10	港版iphone6 大陆运营商	4	1
34	10	10	港版iphone6	0	3
35	10	10	国内iphone6售价	1	4
36	10	10	如何购买港版iphone6	2	4
37	14	10	港版iphone6	0	1
38	14	10	港版iphone6 大陆iphone6	1	3
39	14	10	港版iphone6  价格	2	1
40	14	10	港版iphone6  价格	3	3
41	14	10	国行iphone6  价格	4	2
42	18	10	港版iphone6	0	4
43	18	10	港版iphone6 关税	1	2
44	18	10	iphone6 港版价格	2	2
45	18	10	iphone6 国行价格	3	5
46	2	10	港版iphone6	0	3
47	2	10	中国运营商支持港版iphone6	1	3
48	24	10	港版iphone6	0	3
49	24	10	港版iphone6价格	1	4
50	24	10	港版iphone6 关税	2	3
51	24	10	港版iphone6 z	3	1
52	24	10	港版iphone6 内地运营商	4	4
53	11	10	港版iphone6	0	3
54	11	10	iphone6价格	1	3
55	11	10	iphone6国内售价	2	3
56	11	10	购买港版iphone6	3	5
57	11	10	港版iphone6 需不需要关税	4	3
58	11	10	港版iphone6能否支持国内的移动通信	5	1
59	11	10	港版iphone6能否支持国内的通信	6	2
60	20	10	港版iphone6	0	5
61	20	10	港版iphone6需要关税吗	1	2
62	20	10	iphone6大陆售价	2	3
63	20	10	iphone6港版售价	3	3
64	1	10	港版iphone6	0	4
65	1	10	港版iphone6 购买	1	3
66	1	10	港版iphone6 关税	2	3
67	4	10	港版iphone6	0	4
68	4	10	港版 大陆iphone6	1	1
69	4	10	港版 大陆iphone6 价格	2	2
70	4	10	港版 iphone6关税 	3	2
71	4	10	港版iphone6	4	1
72	16	10	港版iphone6	0	1
73	16	10	iphone6 香港售价	1	1
74	16	10	iphone6 香港售价 关税	2	4
75	16	10	iphone6 香港 国内网络支持	3	2
76	16	10	港版iphone6  国内网络支持	4	1
77	16	10	港版iphone6  国内运营商网络支持	5	4
78	16	10	香港购买iphone6	6	4
79	7	10	港版iphone6	0	4
80	7	10	iphone6价格	1	2
81	7	10	在香港购买iphone6价格	2	4
82	19	10	港版iphone6	0	5
83	19	10	港币汇率	1	1
84	19	10	香港购买ipo	2	1
85	19	10	香港购买iphone 关税	3	3
86	19	10	香港购买iphone6 关税	4	4
87	19	10	香港购买iphone6 关税多少	5	2
88	8	10	港版iphone6	0	1
89	8	10	港版iphone6价格	1	3
90	8	10	国内iphone6价格	2	2
91	8	10	如何在香港购买iphone6	3	4
92	8	10	香港购买iphone6带回要交关税？	4	2
93	8	10	港版iphone6支持国内网络运营商	5	3
94	3	10	港版iphone6	0	2
95	3	10	大陆iphone6	1	2
96	3	10	iphone6	2	3
97	3	10	iphone6 大陆 港版	3	3
98	3	10	iphone6 大陆 港版  价格	4	1
99	23	10	港版iphone6	0	5
100	23	10	港版iphone6和内地差价	1	3
101	23	10	携港版iphone6回内地需要交关税吗	2	3
102	13	10	港版iphone6	0	4
103	13	10	内地iphone6	1	1
104	13	10	内地iphone6	2	1
105	13	10	内地iphone6售价	3	3
106	13	10	如何购买港版iphone6	4	4
107	13	10	购买港版iphone6是否缴纳关税	5	1
108	13	10	购买港版iphone6是否缴纳关税	6	2
109	5	10	港版iphone6	0	1
110	5	10	购买港版iphone6	1	5
111	5	10	内地iphone6价格	2	5
112	5	10	港版iphone	3	1
113	5	10	港版iphone6支持内地运营商网络吗	4	3
114	22	10	港版iphone6	0	4
115	22	10	在香港买手机带回大陆需要关税吗	1	5
116	21	11	清华大学游泳馆	0	2
117	21	11	清华大学游泳馆开放时间	1	2
118	21	11	清华陈明游泳馆 开放时间	2	1
119	21	11	清华陈明游泳馆 价格	3	3
120	21	11	清华 陈明游泳馆 价格	4	1
121	21	11	清华 陈明游泳馆 票价	5	1
122	21	11	清华大学 游泳 票价	6	1
123	21	11	清华 游泳 票价	7	1
124	21	11	清华 游泳卡	8	2
125	12	11	清华大学游泳馆	0	2
126	12	11	清华大学游泳馆 地址	1	2
127	12	11	清华大学游泳馆 时间	2	5
128	12	11	陈明游泳馆 时间	3	2
129	12	11	清华大学游泳馆 场次	4	3
130	12	11	清华大学游泳馆 西湖游泳馆	5	2
131	9	11	清华大学游泳馆	0	2
132	9	11	清华大学游泳馆  开放时间	1	1
133	9	11	清华大学游泳馆  开放时间	2	4
134	17	11	清华大学游泳馆	0	3
135	17	11	清华大学游泳馆 学生票价格	1	3
136	17	11	清华大学游泳馆 游泳卡	2	3
137	17	11	清华大学游泳馆 价格	3	1
138	15	11	清华大学游泳馆	0	3
139	15	11	清华大学游泳馆 具体地址	1	3
140	15	11	清华大学游泳馆 开放时间	2	3
141	15	11	清华大学露天游泳馆	3	2
142	15	11	清华大学露天泳池 学生价格	4	1
143	15	11	清华大学露天泳池 学生价格	5	3
144	15	11	清华大学游泳馆开放时间段	6	1
145	15	11	清华大学游泳馆开放时间段	7	2
146	15	11	清华大学游泳馆学生票价	8	3
147	25	11	清华大学游泳馆	0	4
148	25	11	清华大学游泳馆开放时间	1	3
149	6	11	清华大学游泳馆	0	3
150	10	11	清华大学游泳馆	0	4
151	10	11	清华大学游泳馆位置	1	2
152	10	11	清华大学游泳馆开放时间	2	3
153	10	11	清华大学游泳馆	3	3
154	14	11	清华大学游泳馆	0	2
155	14	11	清华大学 游泳馆	1	2
156	14	11	清华大学 陈明游泳馆	2	2
157	14	11	清华大学 陈明游泳馆 价格	3	3
158	18	11	清华大学游泳馆	0	3
159	18	11	清华大学游泳馆 所在地	1	2
160	18	11	清华大学游泳馆 开放时间	2	1
161	2	11	清华大学游泳馆	0	1
162	2	11	清华大学陈明游泳馆	1	3
163	2	11	清华大学陈明游泳馆价格	2	2
164	2	11	清华大学陈明游泳馆学生价格	3	1
165	2	11	清华大学陈明游泳馆学生卡	4	2
166	2	11	清华大学陈明游泳馆价格	5	1
167	24	11	清华大学游泳馆	0	4
168	24	11	清华大学游泳馆 开放时间	1	1
169	24	11	清华大学游泳馆	2	2
170	24	11	清华大学陈明游泳馆	3	5
171	24	11	清华大学陈明游泳馆 价格	4	3
172	11	11	清华大学游泳馆	0	3
173	11	11	清华大学游泳馆地址	1	2
174	11	11	清华大学游泳馆 游泳卡价格	2	1
175	11	11	清华大学游泳馆 游泳卡	3	1
176	11	11	清华大学游泳馆 游泳卡办理	4	1
177	20	11	清华大学游泳馆	0	2
178	20	11	清华大学游泳馆开放时间	1	5
179	20	11	清华大学游泳馆 位置	2	2
180	1	11	清华大学游泳馆	0	3
181	1	11	清华大学游泳馆 开放时间	1	2
182	1	11	清华大学游泳馆	2	2
183	4	11	清华大学游泳馆	0	3
184	4	11	清华大学游泳馆 地点	1	2
185	4	11	清华大学游泳馆 地址	2	2
186	16	11	清华大学游泳馆	0	2
187	16	11	清华大学游泳馆学生票	1	1
188	16	11	清华大学游泳馆学生票价	2	1
189	16	11	清华大学游泳馆 地址	3	1
190	16	11	清华大学游泳馆 游泳卡	4	1
191	16	11	清华大学游泳馆 游泳卡价格	5	1
192	16	11	清华大学游泳馆	6	1
193	16	11	清华大学游泳馆 tsinghua	7	2
194	16	11	清华大学游泳馆开放时间	8	5
195	7	11	清华大学游泳馆	0	3
196	7	11	清华大学游泳馆地址	1	2
197	19	11	清华大学游泳馆	0	3
198	19	11	清华大学游泳馆 地址	1	3
199	19	11	清华大学游泳馆 地图	2	3
200	19	11	清华大学游泳馆 开放时间	3	3
201	19	11	清华大学游泳馆 学生票	4	3
202	8	11	清华大学游泳馆	0	1
203	8	11	清华大学游泳馆所在地	1	2
204	8	11	清华大学游泳馆开放时间	2	4
205	8	11	清华大学游泳馆学生价	3	3
206	8	11	清华大学游泳馆开放时间	4	5
207	3	11	清华大学游泳馆	0	3
208	3	11	清华大学游泳馆时间	1	2
209	3	11	清华大学游泳馆学生票	2	1
210	3	11	清华大学游泳馆 学生	3	5
211	23	11	清华大学游泳馆	0	3
212	23	11	清华大学	1	2
213	23	11	清华大学游泳馆开放时间	2	1
214	13	11	清华大学游泳馆	0	3
