	query	docno	relevance
0	戒烟	199	1
1	清华大学游泳馆 学生票价格	18606	1
2	留美 手提行李 液体	9681	2
3	死飞自行车购买 清华	19787	2
4	国际航班 手提 托运 体积 重量 限制	20589	4
5	托运行李 电脑 美国	17079	1
6	戒烟好处	1899	4
7	google眼镜 价格	23004	2
8	清华大学陈明游泳馆学生价格	1981	2
9	新员工培训大约十人的破冰游戏	21854	2
10	清华大学游泳馆所在地	3718	3
11	北京旅行5月	2758	3
12	谷歌眼镜价格	2587	2
13	iphone6 港版价格	12074	3
14	留美 行李中什么必须托运	9732	1
15	清华附近自行车店	10007	1
16	iphone6 国行价格	12093	4
17	国际航班 美国 行李限制	24277	2
18	托运行李 电脑	17036	2
19	密云水库住宿	24553	3
20	辽宁号基本信息	1192	3
21	清华附近死飞	21205	3
22	清华大学游泳馆时间	3455	2
23	清华西门死飞	21274	1
24	辽宁号航母 基本信息	5898	4
25	港版iphone6 z	10698	3
26	怀柔度假村 3日游 价格	6932	2
27	清华附近买自行车	2524	2
28	港版 iphone6关税 	20395	2
29	5月香山	2817	1
30	清华大学游泳馆 西湖游泳馆	16865	3
31	美国 托运行李规定	25481	3
32	死飞  注意事项	22852	2
33	死飞自行车 报价	16358	2
34	清华大学 游泳 票价	7606	3
35	辽宁号 战略作用	8343	3
36	旅行	10345	2
37	清华大学附近 死飞自行车	9943	1
38	港版iphone6支持国内网络运营商	13294	4
39	5月北京周边游	25991	2
40	国际航班 美国 行李限制	24276	3
41	死飞自行车 购买	15424	2
42	iphone6 大陆 港版  价格	3296	4
43	北京周边7日游 报价	12607	2
44	辽宁号 与其他航母的优劣比较	23644	3
45	清华附近买自行车	2523	3
46	在香港买手机带回大陆需要关税吗	11722	2
47	清华西门 死飞	6509	2
48	死飞自行车销售地址	9229	3
49	美国 手提行李限制	8448	2
50	香港 iphone6   关税	18249	2
51	港版iphone6  国内运营商网络支持	23230	4
52	清华大学 十渡	26104	1
53	密云水库住宿	24551	4
54	清华附近卖死飞	21230	2
55	国际航班对行李中液体限制	19817	3
56	山海关旅游 7天	19628	4
57	辽宁号 排水量	16463	2
58	国内iphone6售价	9317	3
59	辽宁号与其他航母相比 优势和劣势	20882	2
60	航母的战略意义	22196	4
61	清华西门 死飞公园	25680	1
