	userid	topic_num	task_satisfaction_annotation
0	21	10	4
1	12	10	2
2	9	10	3
3	17	10	3
4	15	10	4
5	25	10	3
6	6	10	2
7	10	10	4
8	14	10	3
9	18	10	4
10	2	10	3
11	24	10	3
12	11	10	4
13	20	10	3
14	1	10	3
15	4	10	3
16	16	10	3
17	7	10	4
18	19	10	3
19	8	10	3
20	3	10	3
21	23	10	4
22	13	10	3
23	5	10	4
24	22	10	4
25	21	11	2
26	12	11	3
27	9	11	3
28	17	11	2
29	15	11	3
30	25	11	4
31	6	11	3
32	10	11	3
33	14	11	3
34	18	11	2
35	2	11	2
36	24	11	3
37	11	11	2
38	20	11	4
39	1	11	3
40	4	11	3
41	16	11	3
42	7	11	3
43	19	11	4
44	8	11	3
45	3	11	3
46	23	11	3
47	13	11	4
48	5	11	3
49	22	11	3
50	21	12	3
51	12	12	2
52	9	12	1
53	17	12	3
54	15	12	3
55	25	12	3
56	6	12	3
57	10	12	3
58	14	12	3
59	18	12	3
60	2	12	2
61	24	12	2
62	11	12	2
63	20	12	4
64	1	12	3
65	4	12	3
66	16	12	3
67	7	12	2
68	19	12	2
69	8	12	1
70	3	12	2
71	23	12	3
72	13	12	2
73	5	12	3
74	22	12	3
75	21	1	2
76	12	1	1
77	9	1	5
78	17	1	2
79	15	1	2
80	25	1	1
81	6	1	5
82	10	1	2
83	14	1	1
84	18	1	1
85	2	1	3
86	24	1	4
87	11	1	4
88	20	1	5
89	1	1	3
90	4	1	3
91	16	1	1
92	7	1	3
93	19	1	2
94	8	1	1
95	3	1	4
96	23	1	4
97	13	1	3
98	5	1	2
99	22	1	3
100	21	2	2
101	12	2	3
102	9	2	2
103	17	2	3
104	15	2	3
105	25	2	1
106	6	2	4
107	10	2	2
108	14	2	3
109	18	2	3
110	2	2	3
111	24	2	3
112	11	2	3
113	20	2	3
114	1	2	4
115	4	2	3
116	16	2	4
117	7	2	3
118	19	2	2
119	8	2	2
120	3	2	2
121	23	2	3
122	13	2	3
123	5	2	5
124	22	2	1
125	21	3	2
126	12	3	2
127	9	3	3
128	17	3	2
129	15	3	2
130	25	3	2
131	6	3	3
132	10	3	2
133	14	3	2
134	18	3	1
135	2	3	2
136	24	3	2
137	11	3	2
138	20	3	2
139	1	3	2
140	4	3	2
141	16	3	2
142	7	3	2
143	19	3	2
144	8	3	3
145	3	3	2
146	23	3	3
147	13	3	1
148	5	3	3
149	22	3	2
150	21	4	3
151	12	4	3
152	9	4	3
153	17	4	4
154	15	4	3
155	25	4	3
156	6	4	3
157	10	4	2
158	14	4	2
159	18	4	3
160	2	4	3
161	24	4	2
162	11	4	3
163	20	4	4
164	1	4	4
165	4	4	2
166	16	4	3
167	7	4	2
168	19	4	3
169	8	4	4
170	3	4	3
171	23	4	4
172	13	4	3
173	5	4	3
174	22	4	3
175	21	7	5
176	12	7	4
177	9	7	4
178	17	7	4
179	15	7	4
180	25	7	4
181	6	7	3
182	10	7	4
183	14	7	3
184	18	7	4
185	2	7	4
186	24	7	4
187	11	7	4
188	20	7	3
189	1	7	4
190	4	7	4
191	16	7	5
192	7	7	4
193	19	7	4
194	8	7	3
195	3	7	4
196	23	7	3
197	13	7	2
198	5	7	3
199	22	7	5
200	21	8	3
201	12	8	2
202	9	8	2
203	17	8	3
204	15	8	4
205	25	8	2
206	6	8	2
207	10	8	3
208	14	8	3
209	18	8	3
210	2	8	3
211	24	8	2
212	11	8	2
213	20	8	3
214	1	8	4
215	4	8	3
216	16	8	4
217	7	8	4
218	19	8	2
219	8	8	2
220	3	8	2
221	23	8	3
222	13	8	5
223	5	8	3
224	22	8	3
